classification,visual_type,attribute_key,theme_style_variants,theme_values,theme_pointers,catalog_count,catalog_style_variants,catalog_dominant_value,catalog_sample_value,catalog_sample_source,match_status
only_in_scans,actionButton,icon.show,,,,11,Style 1;Style 2,true,false,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json,n/a
only_in_scans,actionButton,outline.show,,,,4,Style 2,false,false,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json,n/a
only_in_scans,actionButton,outline[id=default].weight,,,,4,Style 2,1,1,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json,n/a
only_in_scans,actionButton,text.show,,,,4,Style 2,true,true,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/20c4f4b196f0952a45c0/visual.json,n/a
only_in_scans,advancedSlicerVisual,accentBar[id=default].color.solid.color,,,,10,Style 1;Style 3;Style 4;Style 5,"ThemeDataColor(ColorId=2,Percent=0)","ThemeDataColor(ColorId=2,Percent=0)",3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,accentBar[id=default].position,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,Bottom,Bottom,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,accentBar[id=default].show,,,,10,Style 1;Style 3;Style 4;Style 5,true,true,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,accentBar[id=interaction:hover].color.solid.color,,,,3,Style 2;Style 6,"ThemeDataColor(ColorId=2,Percent=0)","ThemeDataColor(ColorId=2,Percent=0)",3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/ada85ff105c703939409/visual.json,n/a
only_in_scans,advancedSlicerVisual,accentBar[id=interaction:hover].width,,,,5,Style 2;Style 3;Style 4;Style 6,3,3,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/8a6bd4e9ee22c1423803/visual.json,n/a
only_in_scans,advancedSlicerVisual,accentBar[id=interaction:press].width,,,,8,Style 1;Style 5,3,3,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
